domain,niche_match,source,wayback_snapshots,ahrefs,wayback,buy,floor,notes
draftingstandards.com,clean-seed,seed,50,https://ahrefs.com/backlink-checker?input=draftingstandards.com,https://web.archive.org/web/*/draftingstandards.com,https://porkbun.com/checkout/search?q=draftingstandards.com,$500,REAL SITE
fusion360tutorials.com,clean-seed,seed,50,https://ahrefs.com/backlink-checker?input=fusion360tutorials.com,https://web.archive.org/web/*/fusion360tutorials.com,https://porkbun.com/checkout/search?q=fusion360tutorials.com,$500,REAL SITE
cnc-tool-library.com,clean-seed,seed,50,https://ahrefs.com/backlink-checker?input=cnc-tool-library.com,https://web.archive.org/web/*/cnc-tool-library.com,https://porkbun.com/checkout/search?q=cnc-tool-library.com,$500,REAL SITE
